石头ID,长度x,长度y,长度z,长度max,点数,体积
0,0.1069636344909668,0.16638946533203125,0.1480865478515625,0.22977706511027485,82,0.012170720543312955
1,0.026973247528076172,0.162078857421875,0.08759307861328125,0.16413373010255583,46,0.0016074693732705853
2,0.023181438446044922,0.07924652099609375,0.07353973388671875,0.0853678284377164,20,0.004183620527094387
3,0.09263801574707031,0.23993682861328125,0.1877899169921875,0.2745543059064346,136,0.007815987824569461
4,0.036104679107666016,0.07920074462890625,0.08477020263671875,0.11156709011469168,25,0.0018562758597496266
5,0.047373294830322266,0.11058807373046875,0.08664703369140625,0.14457524994491955,32,0.0049935192734982805
6,0.04551410675048828,0.1136627197265625,0.12990570068359375,0.14362341472514117,37,0.001429636588311706
7,0.061371803283691406,0.2071990966796875,0.22226715087890625,0.3333008489315734,115,0.014151476062387402
8,0.055977821350097656,0.06958770751953125,0.0670928955078125,0.10070441887857129,22,0.00047842687155625783
9,0.10641908645629883,0.195709228515625,0.285308837890625,0.2973745714267597,158,0.0434535540447088
10,0.021867752075195312,0.04959869384765625,0.081878662109375,0.09189604047356248,20,0.0016585738985816962
11,0.02878713607788086,0.051300048828125,0.09828948974609375,0.1098683144917505,24,0.00272205259713015
12,0.15619707107543945,0.6881637573242188,0.36383056640625,0.7429752201889119,501,0.19717391016990476
13,0.04488182067871094,0.10414886474609375,0.07861328125,0.1290920232042989,36,0.006970397874844757
14,0.4003920555114746,1.0584335327148438,0.8034896850585938,1.2671357177647837,1849,0.022587902149889687
15,0.04406595230102539,0.09889984130859375,0.130218505859375,0.15806438740514128,41,0.006760557432127795
16,0.0330657958984375,0.07151031494140625,0.08600616455078125,0.11824837520371823,24,0.00769801194160666
17,0.04977226257324219,0.07178497314453125,0.05521392822265625,0.08541044492375782,21,0.0018919202102544916
18,0.07863521575927734,0.131072998046875,0.2335052490234375,0.26722940028586883,109,0.003259607787884063
19,0.030460357666015625,0.04941558837890625,0.08196258544921875,0.09497861803422314,20,0.004042705833911791
20,0.04408979415893555,0.13948822021484375,0.0840301513671875,0.15736605927013092,40,0.010411866527560758
21,0.036875247955322266,0.08716583251953125,0.07634735107421875,0.10289790129255483,29,0.006984969794011539
